41006021,"And when a convenient day was come, that Herod on his birthday made a supper to his lords, and the high captains, and the chief men of Galilee;"
41006022,"and when the daughter of Herodias herself came in and danced, she pleased Herod and them that sat at table with him; and the king said to the girl, Ask of me whatever you will, and I will give it you."
41006023,"And he swore to her, Whatever you will ask of me, I will give it you, to the half of my kingdom."
41006024,"And she went out, and said to her mother, What will I ask? And she said, The head of John the Baptist."
41006025,"And she came in immediately with haste to the king, and asked, saying, I will that you at once give me in a platter the head of John the Baptist."
41006026,"And the king was very sorry; but for the sake of his oaths, and of them that sat at table, he would not reject her."
41006027,"And immediately the king sent out a soldier of his guard, and commanded to bring his head: and he went and beheaded him in the prison,"
41006028,"and brought his head in a platter, and gave it to the girl; and the girl gave it to her mother."
41006029,"And when his disciples heard of it, they came and took up his body, and laid it in a tomb."
41006030,"And the apostles gather themselves together to Jesus; and they told him all things, whatever they had done, and whatever they had taught."
41006031,"And he said to them, Come you yourselves privately into a deserted place, and rest a while. For there were many coming and going, and they had no opportunity so much as to eat."
41006032,And they went away in the boat to a deserted place privately.
41006033,"And the people saw them going, and many knew them, and they ran there together on foot from all the cities, and arrived before them."
41006034,"And he came out and saw a great crowd, and he had compassion on them, because they were as sheep not having a shepherd: and he began to teach them many things."
41006035,"And when the day was now far spent, his disciples came to him, and said, The place is deserted, and the day is now far spent:"
41006036,"send them away, that they may go into the country and villages round about, and buy themselves something to eat."
41006037,"But he answered and said to them, Give you them to eat. And they say to him, Will we go and buy a year's wages worth of bread, and give them to eat?"
41006038,"And he said to them, How many loaves have you? go and see. And when they knew, they say, Five, and two fishes."
41006039,And he commanded them that all should sit down by companies upon the green grass.
41006040,"And they sat down in ranks, by hundreds, and by fifties."
41006041,"And he took the five loaves and the two fishes, and looking up to heaven, he blessed, and brake the loaves; and he gave to the disciples to set before them; and the two fishes divided he among them all."
41006042,"And they did all eat, and were filled."
41006043,"And they took up broken pieces, twelve basketfuls, and also of the fishes."
41006044,And they that ate the loaves were five thousand men.
41006045,"And immediately he ordered his disciples to enter into the boat, and to go before him to the other side to Bethsaida, while he himself sends the crowd away."
41006046,"And after he had taken leave of them, he departed into the mountain to pray."
41006047,"And when even was come, the boat was in the midst of the sea, and he alone on the land."
41006048,"And seeing them distressed in rowing, for the wind was against to them, about the fourth watch of the night he came to them, walking on the sea; and he would have passed by them:"
41006049,"but they, when they saw him walking on the sea, supposed that it was an ghost, and cried out:"
41006050,"for they all saw him, and were troubled. But he immediately spoke with them, and said to them, Be of good cheer: it is I; be not afraid."
41006051,And he went up to them into the boat; and the wind ceased: and they were incredibly amazed in themselves;
41006052,"for they understood not concerning the loaves, but their heart was hardened."
41006053,"And when they had crossed over, they came to the land to Gennesaret, and moored to the shore."
41006054,"And when they were come out of the boat, immediately the people knew him,"
41006055,"and ran round about that whole region, and began to carry about on their beds those that were sick, where they heard he was."
41006056,"And wherever he entered, into villages, or into cities, or into the country, they laid the sick in the marketplaces, and begged him that they might touch if it were but the border of his garment: and as many as touched him were made whole."
41007001,"And there are gathered together to him the Pharisees, and certain of the scribes, which had come from Jerusalem,"
41007002,"and had seen that some of his disciples ate their bread with impure, that is, unwashed, hands."
41007003,"For the Pharisees, and all the Jews, except they wash their hands carefully, eat not, holding the tradition of the elders:"
41007004,"and when they come from the marketplace, except they wash themselves, they eat not: and many other things there be, which they have received to hold, washings of cups, and pots, and brass jars."
41007005,"And the Pharisees and the scribes ask him, Why walk not your disciples according to the tradition of the elders, but eat their bread with impure hands?"
41007006,"And he said to them, Well did Isaiah prophesy of you hypocrites, as it is written, This people honours me with their lips, But their heart is far from me."
41007007,"But in vain do they worship me, Teaching as their doctrines the precepts of men."
41007008,"You leave the commandment of God, and hold fast the tradition of men."
41007009,"And he said to them, Full well do you reject the commandment of God, that you may keep your tradition."
41007010,"For Moses said, Honour your father and your mother; and, He that speaks evil of father or mother, let him die the death:"
41007011,"but you say, If a man will say to his father or his mother, That whatever you might have been benefited by me is A gift, that is to say, Given to God;"
41007012,you no longer suffer him to do anything for his father or his mother;
41007013,"making void the word of God by your tradition, which you have delivered: and many such like things you do."
41007014,"And he called to him the crowd again, and said to them, Hear me all of you, and understand:"
41007015,"there is nothing from without the man, that going into him can defile him: but the things which come out of the man are those that defile the man."
41007016,
41007017,"And when he was entered into the house from the crowd, his disciples asked of him the parable."
41007018,"And he said to them, Are you so without understanding also? Know you not, that whatever from without went into the man, it cannot defile him;"
41007019,"because it went not into his heart, but into his belly, and went out into the sewer? This he said, making all food clean."
41007020,"And he said, That which comes from out of the man, that defiles the man."
41007021,"For from within, out of the heart of men, evil thoughts come, sexual immorality, thefts, murders, adulteries,"
41007022,"covetings, wickedness, deceit, lustfulness, an evil eye, evil speech, pride, foolishness:"
41007023,"all these evil things come from within, and defile the man."
41007024,"And from there he got up, and went away into the borders of Tyre and Sidon. And he entered into a house, and would have no man know it: and he could not be hid."
41007025,"But immediately a woman, whose little daughter had an unclean spirit, having heard of him, came and fell down at his feet."
41007026,"Now the woman was a Greek, a Syrophoenician by race. And she begged him that he would cast out the devil out of her daughter."
41007027,"And he said to her, Let the children first be filled: for it is not appropriate to take the children’s bread and cast it to the dogs."
41007028,"But she answered and said to him, Yes, Lord: even the dogs under the table eat of the children’s crumbs."
41007029,"And he said to her, For this saying go your way; the devil is gone out of your daughter."
41007030,"And she went away to her house, and found the child laid upon the bed, and the devil gone out."
41007031,"And again he went out from the borders of Tyre, and came through Sidon to the sea of Galilee, through the midst of the borders of Decapolis."
41007032,"And they bring to him one that was deaf, and had an impediment in his speech; and they beg him to lay his hand upon him."
41007033,"And he took him aside from the crowd privately, and put his fingers into his ears, and he spat, and touched his tongue;"
41007034,"and looking up to heaven, he sighed, and said to him, Ephphatha, that is, Be opened."
41007035,"And his ears were opened, and the bond of his tongue was loosed, and he spoke plain."
41007036,"And he instructed them that they should tell no man: but the more he instructed them, so much the more a great deal they announced it."
41007037,"And they were beyond measure astonished, saying, He has done all things well: he makes even the deaf to hear, and the mute to speak."
41008001,"In those days, when there was again a great crowd, and they had nothing to eat, he called to him his disciples, and said to them,"
41008002,"I have compassion on the crowd, because they continue with me now three days, and have nothing to eat:"
41008003,"and if I send them away fasting to their home, they will faint in the way; and some of them are come from far."
41008004,"And his disciples answered him, Where will one be able to fill these men with bread here in a deserted place?"
41008005,"And he asked them, How many loaves have you? And they said, Seven."
41008006,"And he commands the crowd to sit down on the ground: and he took the seven loaves, and having given thanks, he brake, and gave to his disciples, to set before them; and they set them before the crowd."
41008007,"And they had a few small fishes: and having blessed them, he commanded to set these also before them."
41008008,"And they did eat, and were filled: and they took up, of broken pieces that remained over, seven baskets."
41008009,And they were about four thousand: and he sent them away.
41008010,"And immediately he entered into the boat with his disciples, and came into the parts of Dalmanutha."
41008011,"And the Pharisees came out, and began to question with him, seeking of him a sign from heaven, tempting him."
41008012,"And he sighed deeply in his spirit, and said, Why does this generation seek a sign? truly I say to you, There will no sign be given to this generation."
41008013,"And he left them, and again entering into the boat departed to the other side."
41008014,And they forgot to take bread; and they had not in the boat with them more than one loaf.
41008015,"And he instructed them, saying, Take notice, beware of the yeast of the Pharisees and the yeast of Herod."
41008016,"And they argued one with another, saying, We have no bread."
41008017,"And Jesus knowing it said to them, Why argue you, because you have no bread? do you not yet know, neither understand? have you your heart hardened?"
41008018,"Having eyes, see you not? and having ears, hear you not? and do you not remember?"
41008019,"When I brake the five loaves among the five thousand, how many baskets full of broken pieces took you up? They say to him, Twelve."
41008020,"And when the seven among the four thousand, how many basketfuls of broken pieces took you up? And they say to him, Seven."
41008021,"And he said to them, Do you not yet understand?"
41008022,"And they come to Bethsaida. And they bring to him a blind man, and beg him to touch him."
41008023,"And he took hold of the blind man by the hand, and brought him out of the village; and when he had spit on his eyes, and laid his hands upon him, he asked him, See you anything?"
41008024,"And he looked up, and said, I see men; for I behold them as trees, walking."
41008025,"Then again he laid his hands upon his eyes; and he looked intently, and was restored, and saw all things clearly."
41008026,"And he sent him away to his home, saying, Do not even enter into the village."
41008027,"And Jesus went out, and his disciples, into the villages of Caesarea Philippi: and in the way he asked his disciples, saying to them, Who do men say that I am?"
41008028,"And they told him, saying, John the Baptist: and others, Elijah; but others, One of the prophets."
41008029,"And he asked them, But who say you that I am? Peter answered and said to him, You are the Christ."
41008030,And he instructed them that they should tell no man of him.
41008031,"And he began to teach them, that the Son of man must suffer many things, and be rejected by the elders, and the chief priests, and the scribes, and be killed, and after three days rise again."
41008032,"And he spoke the saying openly. And Peter took him, and began to rebuke him."
41008033,"But he turning about, and seeing his disciples, scolded Peter, and said, Get you behind me, Satan: for you have in mind not the things of God, but the things of men."
41008034,"And he called to him the crowd with his disciples, and said to them, If any man would come after me, let him deny himself, and take up his cross, and follow me."
41008035,For whoever would save his life will lose it; and whoever will lose his life for my sake and the good news’s will save it.
41008036,"For what does it profit a man, to gain the whole world, and forfeit his life?"
41008037,For what should a man give in exchange for his life?
41008038,"For whoever will be ashamed of me and of my words in this adulterous and sinful generation, the Son of man also will be ashamed of him, when he came in the glory of his Father with the holy angels."
41009001,"And he said to them, Truly I say to you, There be some here of them that stand by, which will in no wise taste of death, till they see the kingdom of God come with power."
41009002,"And after six days Jesus takes with him Peter, and James, and John, and brings them up into a high mountain privately by themselves: and he was transfigured before them:"
41009003,"and his garments became dazzling, very white; so as no fuller on earth can whiten them."
41009004,And there appeared to them Elijah with Moses: and they were talking with Jesus.
41009005,"And Peter answered and said to Jesus, Rabbi, it is good for us to be here: and let us make three tents; one for you, and one for Moses, and one for Elijah."
41009006,For he knew not what to answer; for they became incredibly afraid.
41009007,"And there came a cloud overshadowing them: and there came a voice out of the cloud, This is my beloved Son: hear you him."
41009008,"And suddenly looking round about, they saw no one any more, save Jesus only with themselves."
41009009,"And as they were coming down from the mountain, he instructed them that they should tell no man what things they had seen, save when the Son of man should have risen again from the dead."
41009010,"And they kept the saying, questioning among themselves what the rising again from the dead should mean."
41009011,"And they asked him, saying, The scribes say that Elijah must first come."
41009012,"And he said to them, Elijah indeed came first, and restores all things: and how is it written of the Son of man, that he should suffer many things and be set at nothing?"
41009013,"But I say to you, that Elijah is come, and they have also done to him whatever they wanted, as it is written of him."
41009014,"And when they came to the disciples, they saw a great crowd about them, and scribes questioning with them."
41009015,"And immediately all the crowd, when they saw him, were greatly amazed, and running to him saluted him."
41009016,"And he asked them, What question you with them?"
41009017,"And one of the crowd answered him, Master, I brought to you my son, which has a mute spirit;"
41009018,"and wherever it takes him, it dashes him down: and he foams, and grinds his teeth, and seizes away: and I spoke to your disciples that they should cast it out; and they were not able."
